t	f(t)
0.000000	-1.399479
0.020040	-1.480023
0.040080	-1.601187
0.060120	-1.297620
0.080160	-1.289936
0.100200	-1.273753
0.120240	-1.337292
0.140281	-1.116024
0.160321	-1.229106
0.180361	-1.216460
0.200401	-1.226898
0.220441	-1.037439
0.240481	-1.147352
0.260521	-1.145523
0.280561	-1.157180
0.300601	-1.101068
0.320641	-1.107546
0.340681	-1.028496
0.360721	-1.068051
0.380762	-1.129482
0.400802	-1.101113
0.420842	-1.043831
0.440882	-1.076278
0.460922	-1.032582
0.480962	-0.996410
0.501002	-0.928885
0.521042	-0.836651
0.541082	-0.959702
0.561122	-0.873260
0.581162	-0.961247
0.601202	-0.778277
0.621242	-0.797586
0.641283	-0.898242
0.661323	-0.750822
0.681363	-0.922672
0.701403	-0.889860
0.721443	-0.795440
0.741483	-0.821714
0.761523	-0.662537
0.781563	-0.767625
0.801603	-0.580392
0.821643	-0.808779
0.841683	-0.738150
0.861723	-0.835629
0.881764	-0.577243
0.901804	-0.772429
0.921844	-0.671373
0.941884	-0.754770
0.961924	-0.733659
0.981964	-0.736734
1.002004	-0.849037
1.022044	-0.490585
1.042084	-0.692764
1.062124	-0.695413
1.082164	-0.738680
1.102204	-0.678878
1.122244	-0.707901
1.142285	-0.685165
1.162325	-0.790506
1.182365	-0.703155
1.202405	-0.642983
1.222445	-0.699425
1.242485	-0.721573
1.262525	-0.813340
1.282565	-0.720101
1.302605	-0.704642
1.322645	-0.677662
1.342685	-0.775522
1.362725	-0.644045
1.382766	-0.678654
1.402806	-0.829526
1.422846	-0.720795
1.442886	-0.681604
1.462926	-0.836249
1.482966	-0.614616
1.503006	-0.680393
1.523046	-0.855515
1.543086	-0.697038
1.563126	-0.744259
1.583166	-0.954059
1.603206	-0.930704
1.623246	-0.868794
1.643287	-0.829285
1.663327	-0.994677
1.683367	-0.917866
1.703407	-1.019299
1.723447	-0.995703
1.743487	-1.156586
1.763527	-1.013270
1.783567	-0.997459
1.803607	-0.947362
1.823647	-0.934598
1.843687	-1.010118
1.863727	-1.077554
1.883768	-1.001799
1.903808	-1.142459
1.923848	-1.188492
1.943888	-1.103160
1.963928	-1.174339
1.983968	-1.296870
2.004008	-1.176212
2.024048	-1.137267
2.044088	-1.175665
2.064128	-1.265537
2.084168	-1.194451
2.104208	-1.155772
2.124248	-1.368521
2.144289	-1.327716
2.164329	-1.439115
2.184369	-1.396083
2.204409	-1.278789
2.224449	-1.623034
2.244489	-1.444362
2.264529	-1.470395
2.284569	-1.445745
2.304609	-1.348866
2.324649	-1.501786
2.344689	-1.457817
2.364729	-1.678506
2.384770	-1.503920
2.404810	-1.350443
2.424850	-1.571314
2.444890	-1.633262
2.464930	-1.613554
2.484970	-1.666715
2.505010	-1.571926
2.525050	-1.711749
2.545090	-1.662691
2.565130	-1.734254
2.585170	-1.883073
2.605210	-1.724327
2.625251	-1.679803
2.645291	-1.572228
2.665331	-1.784914
2.685371	-1.686140
2.705411	-1.961032
2.725451	-1.737751
2.745491	-1.725243
2.765531	-1.819052
2.785571	-1.889993
2.805611	-1.657942
2.825651	-1.796396
2.845691	-1.768941
2.865731	-1.806111
2.885772	-1.876991
2.905812	-1.836622
2.925852	-1.909918
2.945892	-1.711503
2.965932	-1.868523
2.985972	-1.824030
3.006012	-1.867599
3.026052	-1.579958
3.046092	-1.835497
3.066132	-1.900887
3.086172	-1.876139
3.106212	-1.762004
3.126253	-1.794586
3.146293	-1.676762
3.166333	-1.615265
3.186373	-1.917379
3.206413	-1.700086
3.226453	-1.749085
3.246493	-1.747649
3.266533	-1.669408
3.286573	-1.747318
3.306613	-1.908216
3.326653	-1.706227
3.346693	-1.717063
3.366733	-1.510213
3.386774	-1.473702
3.406814	-1.485109
3.426854	-1.714424
3.446894	-1.539693
3.466934	-1.683069
3.486974	-1.481746
3.507014	-1.486747
3.527054	-1.490115
3.547094	-1.462592
3.567134	-1.474084
3.587174	-1.420477
3.607214	-1.395156
3.627255	-1.344028
3.647295	-1.263123
3.667335	-1.577027
3.687375	-1.335024
3.707415	-1.322964
3.727455	-1.277988
3.747495	-1.344964
3.767535	-1.285384
3.787575	-1.132342
3.807615	-1.202342
3.827655	-1.084540
3.847695	-1.030118
3.867735	-0.904799
3.887776	-0.896347
3.907816	-0.882318
3.927856	-0.937122
3.947896	-0.957775
3.967936	-0.829110
3.987976	-0.777824
4.008016	-0.864548
4.028056	-0.782951
4.048096	-0.866767
4.068136	-0.570612
4.088176	-0.771766
4.108216	-0.534354
4.128257	-0.582599
4.148297	-0.530274
4.168337	-0.296618
4.188377	-0.276679
4.208417	-0.501260
4.228457	-0.275858
4.248497	-0.415204
4.268537	-0.459817
4.288577	-0.138266
4.308617	-0.155547
4.328657	-0.040748
4.348697	-0.176648
4.368737	0.223993
4.388778	-0.006688
4.408818	0.076110
4.428858	0.304511
4.448898	0.331820
4.468938	0.242151
4.488978	0.344319
4.509018	0.255024
4.529058	0.178268
4.549098	0.316896
4.569138	0.434808
4.589178	0.475733
4.609218	0.639031
4.629259	0.736081
4.649299	0.797918
4.669339	0.749296
4.689379	0.760145
4.709419	0.848870
4.729459	0.945749
4.749499	0.904972
4.769539	1.132696
4.789579	1.084874
4.809619	1.269744
4.829659	1.290250
4.849699	1.340683
4.869739	1.227940
4.889780	1.386083
4.909820	1.545809
4.929860	1.464685
4.949900	1.406488
4.969940	1.644346
4.989980	1.717309
5.010020	1.751714
5.030060	1.762549
5.050100	1.793316
5.070140	1.761783
5.090180	1.856484
5.110220	1.978716
5.130261	1.843763
5.150301	1.885394
5.170341	1.947132
5.190381	1.999674
5.210421	1.942506
5.230461	2.174853
5.250501	2.169388
5.270541	2.058345
5.290581	2.200757
5.310621	2.275317
5.330661	2.243429
5.350701	2.003844
5.370741	2.387250
5.390782	2.412516
5.410822	2.180260
5.430862	2.239867
5.450902	2.320448
5.470942	2.134743
5.490982	2.256271
5.511022	2.207318
5.531062	2.113482
5.551102	2.248692
5.571142	2.251926
5.591182	2.319819
5.611222	2.119254
5.631263	2.123363
5.651303	2.405203
5.671343	2.284015
5.691383	2.296986
5.711423	2.085868
5.731463	2.152919
5.751503	2.273710
5.771543	2.230844
5.791583	2.358158
5.811623	1.976783
5.831663	2.140148
5.851703	2.014329
5.871743	2.085169
5.891784	2.188166
5.911824	1.943041
5.931864	1.795507
5.951904	2.002146
5.971944	1.954134
5.991984	1.814477
